MüştəriID,AdSoyad,DoğumTarixi,Cins,TəhsilSəviyyəsi,MəşğulluqStatusu,AylıqGəlir,KreditNövü,KreditMəbləği,KreditMəqsədi,FaizDərəcəsi,KreditSkoru,DigərKreditlərinSayı,KeçmişdəGecikmə,QaraSiyahida,MüraciətStatusu,YoxlayıcınınQeydləri
91487724, Sahil Tağıyev ,01-21-78, kişi ,Magistr,İşləyən,922,Nağd istehlak krediti,17560,təmir,18.02,496.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
61527050,Məhəmməd Babayev,02-15-72,Kişi,Bakalavr,İşləyən,2755,Nağd istehlak krediti,6785,məişət avadanlığı alışı,17.47,903.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 803
51740867,Tağıyeva Sevinc,1975-06-10,qadin,Bakalavr tehsili,İşləyən,2268,Nağd istehlak krediti,16429,təmir,17.5,462.0,4,Bəli,Xeyr,Rədd edilib,Aşağı kredit reytinqi
43433343,Ramin Rəhimov,08-31-78,Kişi,Bakalavr tehsili,İşləyən,3782,Avtomobil krediti,37789 AZN,təmir,14.75,1101.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
18299498,Emin Cəfərov,1990-09-07,Kişi,Magistr,İşləyən,,Nağd istehlak krediti,10957,məişət avadanlığı alışı,15.03,,3,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır | Yoxlayıcı_ID: 188
14811028,Aylin Sultanova,03-02-89,,Bakalavr tehsili,İşləyən,1625,Nağd istehlak krediti,10910,təmir,17.52,612.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 814
37547839,Rəna Səfərova,1994-05-04,,Magistr,İşləyən,3026,Nağd istehlak krediti,1009,təmir,11.93,651.0,4,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
28917233,Anar Rzayev,30/03/1999,,Bakalavr,İşləyən,1391,Nağd istehlak krediti,15667,şəxsi istehlak məqsədi,18.3,1535.0,0,,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
60366476,Sevinc İbrahimova,25/05/1985,Q,Bakalavr,Sahibkar,9040,Mikro kredit,50688,dövriyyə vəsaitlərinin artırılması - Biznes krediti,20.76,1669.0,5,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
30011334,Anar Sultanov,1995-10-04, kişi ,Magistr,İşləyən,1827,Nağd istehlak krediti,9951,şəxsi istehlak məqsədi,18.95,533.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 856
21945844,Rəna Sultanova,09-26-92,qadin,Bakalavr tehsili,İşləyən,1684,Nağd istehlak krediti,15916,məişət avadanlığı alışı,11.98,1166.0,1,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 776
13350222,Sevinc Abdullayeva,1972-09-15,Qadın,Bakalavr tehsili,İşləyən,3750,Avtomobil krediti,37626,tibbi xərclər,18.63,,2,Xeyr,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
76058424,Zülfiyyə Hüseynova,05/12/1986,qadin,Magistr,İşləyən,2457,Avtomobil krediti,18953,təmir,19.13,826.0,0,,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
78620334,Səfərov Uğur,1965-06-20,K,Orta məktəb,İşsiz,368,Nağd istehlak krediti,717,toy xərcləri,24.97,587.0,2,Bəli,Bəli,Rədd edilib,'Qara siyahı'da olmaq | Yoxlayıcı_ID: 304
94944944,Murad Cavadov,08/11/1972,K,Magistr,İşləyən,1223,Avtomobil krediti,29599,şəxsi istehlak məqsədi,13.39,893.0,1,Xeyr,Xeyr,Rədd edilib,Gəlir çatışmazlığı | Yoxlayıcı_ID: 466
11124300,Rəşad Hüseynov,04-01-04,Kişi,Bakalavr tehsili,Tələbə,276,Təhsil krediti,2114,Biznes krediti,17.9,,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
52657827,Anar Əhmədov,06/12/1988, kişi ,Orta məktəb,İşsiz,21,Nağd istehlak krediti,701,şəxsi istehlak məqsədi,18.68,297.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
25398239, Nigar Cavadova ,07/10/2001,,Bakalavr tehsili,İşləyən,3114,Nağd istehlak krediti,12010 AZN,toy xərcləri,18.68,,1,Bəli,Xeyr,Rədd edilib,Aşağı kredit reytinqi
67709086,Şəbnəm Babayeva,01-13-89,Qadın,Magistr,İşləyən,2474,Avtomobil krediti,25958,tibbi xərclər,20.09,1117.0,2,Xeyr,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
64186229,Samir Vəliyev,24/07/2007,Kişi,Magistr,Tələbə,141,Təhsil krediti,1809,dövriyyə vəsaitlərinin artırılması - Biznes krediti,20.21,205.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
53872978,Əli Vəliyev,1989-02-06,Kişi,Bakalavr tehsili,Sahibkar,8469,Mikro kredit,91887,Biznes krediti,17.96,1172.0,7,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 481
74078597,Məhəmməd Qasımov,27/09/1973, kişi ,Orta məktəb,İşsiz,395,Nağd istehlak krediti,571,təmir,24.41,286.0,1,Xeyr,Xeyr,Rədd edilib,Aşağı kredit reytinqi
53533631,Ləman Rzayeva,1978-05-02,Qadın,Bakalavr tehsili,Sahibkar,4170,Mikro kredit,84735,dövriyyə vəsaitlərinin artırılması - Biznes krediti,24.81,990.0,6,Xeyr,Xeyr,Təsdiqlənib,Aşağı kredit reytinqi
71130241,Məryəm Quliyeva,30/05/2005,,Bakalavr tehsili,Tələbə,100,Təhsil krediti,607,əsas vəsaitlərin alınması - Biznes krediti,12.92,582.0,1,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
83713949, Aylin Rüstəmova ,1981-11-14,Qadın,Bakalavr tehsili,Sahibkar,4237 manat,Mikro kredit,11574,Biznes krediti,14.9,1035.0,3,Xeyr,Bəli,Rədd edilib,'Qara siyahı'da olmaq | Yoxlayıcı_ID: 644
72339009,Fatimə Qasımova,1974-12-23,,Bakalavr,İşləyən,2636,Nağd istehlak krediti,8371,şəxsi istehlak məqsədi,19.25,540.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
76465211,Aydan Hüseynova,05-19-73,Qadın,Orta məktəb,İşsiz,235,Nağd istehlak krediti,638,şəxsi istehlak məqsədi,16.5,515.0,1,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
12359648,Elvin İsmayılov,2003-02-01,K,Magistr,Tələbə,269,Təhsil krediti,1953,dövriyyə vəsaitlərinin artırılması - Biznes krediti,13.72,403.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
95133338,Səbinə Hüseynova,2006-03-25,,Magistr,Tələbə,266 manat,Təhsil krediti,577,Biznes krediti,21.45,668.0,0,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır | Yoxlayıcı_ID: 885
11484477,Rauf Səfərov,06-26-87, kişi ,Bakalavr,İşləyən,1951,Nağd istehlak krediti,4024,toy xərcləri,12.26,1484.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
97489400,Rəhimov Orxan,2003-02-28,,Magistr,Tələbə,112 AZN,Təhsil krediti,2082,dövriyyə vəsaitlərinin artırılması - Biznes krediti,23.83,765.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
37188892,Cavid İsmayılov,03-31-69, kişi ,Orta məktəb,İşsiz,6,Nağd istehlak krediti,700,məişət avadanlığı alışı,11.12,163.0,1,Bəli,Xeyr,Rədd edilib,Aşağı kredit reytinqi | Yoxlayıcı_ID: 322
48765726,Məhəmməd Cavadov,07-18-06,Kişi,Magistr,Tələbə,215,Təhsil krediti,676 manat,Biznes krediti,20.95,333.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
39382667,Səbinə İbrahimova,08-30-89,Qadın,Orta məktəb,İşsiz,244 manat,Nağd istehlak krediti,866,təmir,22.28,238.0,2,Xeyr,Xeyr,Rədd edilib,Aşağı kredit reytinqi
51495371,Aydan Nəsirova,1979-01-06,Q,Magistr,İşləyən,2132,Nağd istehlak krediti,7472,toy xərcləri,24.73,1008.0,2,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
27745606,anar məmmədov,07/03/1977,Kişi,Bakalavr,İşləyən,1836,Nağd istehlak krediti,16169,təmir,20.69,945.0,2,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 605
51651151,Fatimə Rüstəmova,1987-04-02,Qadın,Bakalavr tehsili,İşləyən,1021,Nağd istehlak krediti,11863,tibbi xərclər,18.57,541.0,4,Xeyr,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
87940251,Nigar İbrahimova,1974-03-26,qadin,Magistr,İşləyən,2812 manat,Nağd istehlak krediti,5381,məişət avadanlığı alışı,15.24,678.0,4,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
44083438, Uğur Babayev ,24/11/1990,,Magistr,Sahibkar,8839,Mikro kredit,99265,dövriyyə vəsaitlərinin artırılması - Biznes krediti,18.71,1013.0,8,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
77996712,Aylin İsmayılova,14/03/2005,Q,Bakalavr tehsili,Tələbə,151,Təhsil krediti,2618,əsas vəsaitlərin alınması - Biznes krediti,18.06,535.0,0,,Xeyr,Təsdiqlənib,Səhv və ya natamam müraciət
54591241,Orxan Nəsirov,1996-01-18,Kişi,Magistr,İşləyən,3524,Nağd istehlak krediti,16490,tibbi xərclər,14.54,,3,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
79331008,Samir Tağıyev,1987-10-22,Kişi,Magistr,Sahibkar,8922,Mikro kredit,38536,əsas vəsaitlərin alınması - Biznes krediti,18.74,950.0,2,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
64858774,Aylin Babayeva,07/08/1977,Qadın,Bakalavr tehsili,İşləyən,3405,Avtomobil krediti,13442,toy xərcləri,19.5,1026.0,4,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır | Yoxlayıcı_ID: 797
35404420,Elvin Vəliyev,2005-09-03,K,Bakalavr tehsili,Tələbə,251 AZN,Təhsil krediti,1045,Biznes krediti,16.37,452.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
96555695,Rauf Babayev,09-28-98,K,Magistr,İşləyən,1928,Nağd istehlak krediti,17820,tibbi xərclər,21.95,977.0,4,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 353
85330424,Səbinə Səfərova,07-02-75,Qadın,Bakalavr,Sahibkar,9398,Mikro kredit,50088,Biznes krediti,11.46,1219.0,6,Bəli,Xeyr,Təsdiqlənib,Aşağı kredit reytinqi
95405334,Səbinə Nəsirova,11-27-71,Q,Bakalavr,Sahibkar,2994,Mikro kredit,18101,Biznes krediti,15.57,1256.0,3,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
91040547,Fərid Quliyev,2002-11-01,Kişi,Bakalavr,Tələbə,216,Təhsil krediti,657,əsas vəsaitlərin alınması - Biznes krediti,15.96,330.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
62291717,Aydan Abdullayeva,1992-04-30,Qadın,Magistr,İşləyən,3586 AZN,Nağd istehlak krediti,8852,məişət avadanlığı alışı,22.86,868.0,1,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 969
27139751,Murad Əhmədov,1999-07-17,Kişi,Magistr,İşləyən,1027,Nağd istehlak krediti,19480,tibbi xərclər,20.39,1294.0,0,,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
14735104,aysel i̇smayılova,1978-04-17,,Magistr,İşləyən,3510,Nağd istehlak krediti,17871,toy xərcləri,22.28,1259.0,3,Xeyr,Xeyr,Təsdiqlənib,Zaminlik məsələləri
79450389,Fərid Cavadov,06-15-93, kişi ,Bakalavr,İşləyən,2999,Nağd istehlak krediti,15748,şəxsi istehlak məqsədi,20.71,625.0,3,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
22785992,Hüseyn Abdullayev,05/07/1963, kişi ,Orta məktəb,İşsiz,82,Nağd istehlak krediti,522,məişət avadanlığı alışı,16.14,462.0,2,Bəli,Bəli,Rədd edilib,'Qara siyahı'da olmaq
36506702,Cavid Tağıyev,09-08-77,Kişi,Bakalavr tehsili,İşləyən,1245,Avtomobil krediti,29440,tibbi xərclər,19.45,1536.0,4,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
40657097,Ayan Qasımova,01-14-98,Q,Bakalavr tehsili,İşləyən,1428,Nağd istehlak krediti,18251,şəxsi istehlak məqsədi,18.61,898.0,3,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
77696298,Rzayeva Lalə,1990-11-18,Qadın,Orta məktəb,İşsiz,223,Nağd istehlak krediti,800,təmir,19.33,313.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
89895114,Elvin Babayev,07/10/2001,K,Magistr,İşləyən,849,Avtomobil krediti,29707,tibbi xərclər,14.81,493.0,3,Xeyr,Xeyr,Rədd edilib,Aşağı kredit reytinqi
33926102,Emin İsmayılov,27/06/1985,Kişi,Magistr,İşləyən,3615,Avtomobil krediti,28822,toy xərcləri,23.29,739.0,2,Xeyr,Xeyr,Təsdiqlənib,İş stajı yetərsizdir
76827210,Məhəmməd Əliyev,19/10/2000,Kişi,Bakalavr tehsili,İşləyən,3956,Avtomobil krediti,17962,şəxsi istehlak məqsədi,12.06,,0,,Xeyr,Təsdiqlənib,'Qara siyahı'da olmaq
12466221,Kəmalə Sultanova,2004-11-10,Q,Bakalavr tehsili,Tələbə,256,Təhsil krediti,2612,Biznes krediti,16.6,256.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
22565032,Ayan Rəhimova,1980-06-07,Q,Bakalavr tehsili,İşləyən,3177,Avtomobil krediti,27053,məişət avadanlığı alışı,17.34,983.0,1,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
49051028,Anar Tağıyev,11-07-97,K,Magistr,İşləyən,1093,Avtomobil krediti,14050,təmir,19.56,1545.0,4,Xeyr,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
77711161,Zəhra Səfərova,02/08/1984,,Magistr,İşləyən,1528,Nağd istehlak krediti,1872,tibbi xərclər,16.45,714.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
98364649,Fərid Məmmədov,1986-10-06,K,Magistr,İşləyən,2548,Nağd istehlak krediti,17101,təmir,17.51,1306.0,0,,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır | Yoxlayıcı_ID: 641
73218933,Nərmin Vəliyeva,25/03/1974,,Orta məktəb,İşsiz,247,Nağd istehlak krediti,722,toy xərcləri,17.43,407.0,1,Xeyr,Xeyr,Rədd edilib,Aşağı kredit reytinqi
41591039, Rəna Hüseynova ,23/09/1975,,Magistr,Sahibkar,9755,Mikro kredit,"26,394",dövriyyə vəsaitlərinin artırılması - Biznes krediti,22.94,1114.0,2,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
67260205,Lalə Cəfərova,09/05/1984,Qadın,Orta məktəb,İşsiz,4,Nağd istehlak krediti,933,tibbi xərclər,15.57,322.0,1,Bəli,Bəli,Rədd edilib,'Qara siyahı'da olmaq
98391749,Zülfiyyə Səfərova,20/01/2007,,Bakalavr,Tələbə,245 AZN,Təhsil krediti,1161,dövriyyə vəsaitlərinin artırılması - Biznes krediti,24.99,527.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 527
68851670,Zülfiyyə Qasımova,1994-06-30,Q,Bakalavr,İşləyən,962,Nağd istehlak krediti,11996,toy xərcləri,21.55,553.0,3,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
85611816,Aylin Əhmədova,30/05/1968,qadin,Orta məktəb,İşsiz,160,Nağd istehlak krediti,781,təmir,15.64,512.0,1,Bəli,Xeyr,Təsdiqlənib,İş stajı yetərsizdir | Yoxlayıcı_ID: 934
43732932,Fidan Sultanova,08/12/1984,Q,Bakalavr,İşləyən,1515,Nağd istehlak krediti,11120,təmir,12.79,1321.0,2,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 841
27459251,Zeynəb İbrahimova,22/07/1974,,Magistr,İşləyən,1143,Nağd istehlak krediti,5001,məişət avadanlığı alışı,17.46,903.0,1,Xeyr,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
66974432,Aysel Rzayeva,09-07-72,qadin,Orta məktəb,İşsiz,69,Nağd istehlak krediti,534,məişət avadanlığı alışı,10.96,206.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
23056338,Ramin Əhmədov,01-06-04,Kişi,Magistr,Tələbə,253,Təhsil krediti,930,dövriyyə vəsaitlərinin artırılması - Biznes krediti,12.87,395.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
75348880,Fatimə Rzayeva,1974-05-13,Q,Orta məktəb,İşsiz,215,Nağd istehlak krediti,830,məişət avadanlığı alışı,22.84,446.0,1,Bəli,Xeyr,Rədd edilib,Aşağı kredit reytinqi
31878500,Emin Səfərov,1994-10-14, kişi ,Magistr,İşləyən,1404,Nağd istehlak krediti,15206,məişət avadanlığı alışı,13.77,525.0,2,Bəli,Xeyr,Təsdiqlənib,'Qara siyahı'da olmaq
46286327,Zeynəb Vəliyeva,1983-10-15,qadin,Bakalavr tehsili,İşləyən,1962,Nağd istehlak krediti,14942,şəxsi istehlak məqsədi,24.84,753.0,0,,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır | Yoxlayıcı_ID: 726
48479304,Şəbnəm Nəsirova,1972-09-16,,Bakalavr,İşləyən,3374,Nağd istehlak krediti,11842,məişət avadanlığı alışı,15.27,770.0,3,Xeyr,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır | Yoxlayıcı_ID: 884
81747242,Kamal Rüstəmov,26/11/1974,,Bakalavr,İşləyən,3005,Avtomobil krediti,31706,şəxsi istehlak məqsədi,15.82,879.0,1,Xeyr,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
40870855,Rauf Sultanov,20/06/1973,,Magistr,İşləyən,3329,Nağd istehlak krediti,14164,təmir,23.3,778.0,4,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
18705233,Məmmədov Sahil,1968-10-12,,Orta məktəb,İşsiz,176,Nağd istehlak krediti,506,tibbi xərclər,19.56,514.0,1,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
97655873,Şəbnəm Nəsirova,10-03-87,Q,Orta məktəb,İşsiz,8,Nağd istehlak krediti,569,tibbi xərclər,14.33,527.0,1,Bəli,Xeyr,Rədd edilib,Gəlir çatışmazlığı | Yoxlayıcı_ID: 470
68469187,Fidan Sultanova,2001-05-30,Qadın,Bakalavr tehsili,İşləyən,2069,Avtomobil krediti,33261 AZN,toy xərcləri,18.31,562.0,1,Xeyr,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
54373203,Fərid Əhmədov,1984-06-02,,Bakalavr,İşləyən,3961,Nağd istehlak krediti,9372,toy xərcləri,15.55,1076.0,2,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
41944893,Emin Quliyev,1979-03-31,Kişi,Orta məktəb,İşsiz,133,Nağd istehlak krediti,871,təmir,18.48,109.0,1,Bəli,Bəli,Rədd edilib,'Qara siyahı'da olmaq | Yoxlayıcı_ID: 904
44752414,Aydan Əhmədova,05-22-73,,Magistr,İşləyən,2354,Nağd istehlak krediti,10009,məişət avadanlığı alışı,16.41,791.0,2,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
25749043,lalə əhmədova,1980-05-19,qadin,Magistr,Sahibkar,3517,Mikro kredit,6219,əsas vəsaitlərin alınması - Biznes krediti,20.51,801.0,4,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
68580729,Samir Əhmədov,2007-03-16,K,Magistr,Tələbə,281,Təhsil krediti,1358,dövriyyə vəsaitlərinin artırılması - Biznes krediti,21.42,436.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
33526361,Zülfiyyə Qasımova,2007-07-30,Q,Bakalavr,Tələbə,113,Təhsil krediti,525,dövriyyə vəsaitlərinin artırılması - Biznes krediti,19.69,540.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 965
83074496,Fərid Hüseynov,2006-04-14,,Bakalavr,Tələbə,286,Təhsil krediti,792,əsas vəsaitlərin alınması - Biznes krediti,16.88,,1,Xeyr,Xeyr,Rədd edilib,Aşağı kredit reytinqi
22912862,Nigar Tağıyeva,1973-06-26,qadin,Bakalavr,İşləyən,2386,Nağd istehlak krediti,14479,tibbi xərclər,12.05,1436.0,0,,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
65858404,Orxan Vəliyev,12/02/1995,K,Bakalavr tehsili,İşləyən,1119,Nağd istehlak krediti,3058,toy xərcləri,17.84,1006.0,3,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
99782502,Kamal Quliyev,1962-05-13,K,Orta məktəb,İşsiz,,Nağd istehlak krediti,957,toy xərcləri,16.76,259.0,1,Xeyr,Xeyr,Rədd edilib,Aşağı kredit reytinqi
33504658,Rəşad Əliyev,22/02/1971, kişi ,Orta məktəb,İşsiz,296,Nağd istehlak krediti,735,şəxsi istehlak məqsədi,14.31,224.0,1,Xeyr,Xeyr,Rədd edilib,Aşağı kredit reytinqi | Yoxlayıcı_ID: 551
59610215,Murad Sultanov,1962-09-28,,Orta məktəb,İşsiz,150,Nağd istehlak krediti,336,toy xərcləri,16.83,509.0,1,Xeyr,Bəli,Rədd edilib,'Qara siyahı'da olmaq
50646964,Nigar Tağıyeva,1991-12-25,qadin,Bakalavr tehsili,Sahibkar,8629,Mikro kredit,33596,Biznes krediti,14.96,1174.0,5,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 186
56991531,Rəna Məmmədova,1999-05-05,Q,Magistr,İşləyən,1291,Nağd istehlak krediti,8237,tibbi xərclər,21.98,1284.0,4,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
41833212,Aysel Cəfərova,01-30-07,Qadın,Magistr,Tələbə,100,Təhsil krediti,948,əsas vəsaitlərin alınması - Biznes krediti,24.23,634.0,1,Xeyr,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
86472785,Günel Quliyeva,21/04/1997,Q,Magistr,İşləyən,1547,Avtomobil krediti,30083,məişət avadanlığı alışı,16.43,1087.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi | Yoxlayıcı_ID: 724
64989169,Hüseyn Quliyev,03-27-96,Kişi,Orta məktəb,İşsiz,42,Nağd istehlak krediti,981,təmir,19.03,206.0,1,Bəli,Bəli,Rədd edilib,'Qara siyahı'da olmaq
90763969,Əhmədova Rəna,27/11/2005,Qadın,Magistr,Tələbə,288,Təhsil krediti,2542,dövriyyə vəsaitlərinin artırılması - Biznes krediti,18.12,608.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
